"","trip_id","distance","end","start","trip_duration"
"233","1096982",10.2794647272,"9:50:00","9:17:00",1980
"234","1096983",10.2794647272,"8:50:00","8:17:00",1980
"235","1096984",6.5587573163,"7:50:00","7:25:00",1500
"236","1096985",10.331535617,"23:33:00","23:00:00",1980
"237","1096986",10.331535617,"25:03:00","24:30:00",1980
"238","1096987",10.331535617,"22:03:00","21:30:00",1980
"239","1096988",10.331535617,"20:33:00","20:00:00",1980
"240","1096989",11.0803498091,"19:37:00","19:00:00",2220
"241","1096990",11.0803498091,"18:42:00","18:00:00",2520
"242","1096991",11.0803498091,"17:42:00","17:00:00",2520
"243","1096992",11.0803498091,"16:42:00","16:00:00",2520
"244","1096993",11.0803498091,"15:42:00","15:00:00",2520
"245","1096994",11.0803498091,"14:42:00","14:00:00",2520
"246","1096995",11.0803498091,"13:42:00","13:00:00",2520
"247","1096996",11.0803498091,"12:42:00","12:00:00",2520
"248","1096997",11.0803498091,"11:37:00","11:00:00",2220
"249","1096998",11.0803498091,"10:37:00","10:00:00",2220
"250","1096999",11.0803498091,"9:37:00","9:00:00",2220
"251","1097000",11.0803498091,"8:37:00","8:00:00",2220
"252","1097001",11.0803498091,"7:37:00","7:00:00",2220
"253","1097002",11.0803498091,"6:37:00","6:00:00",2220
"254","1097003",10.331535617,"5:33:00","5:00:00",1980
"255","1097004",6.5587573163,"5:55:00","5:30:00",1500
"256","1097005",10.2794647272,"24:15:00","23:42:00",1980
"257","1097006",10.2794647272,"22:55:00","22:22:00",1980
"258","1097007",10.2794647272,"21:25:00","20:52:00",1980
"259","1097008",11.0488462994,"19:55:00","19:18:00",2220
"260","1097009",11.0488462994,"18:55:00","18:17:00",2280
"261","1097010",11.0488462994,"17:55:00","17:17:00",2280
"262","1097011",11.0488462994,"16:55:00","16:17:00",2280
"263","1097012",11.0488462994,"15:55:00","15:17:00",2280
"264","1097013",11.0488462994,"14:55:00","14:17:00",2280
"265","1097014",11.0488462994,"13:55:00","13:17:00",2280
"266","1097015",11.0488462994,"12:55:00","12:17:00",2280
"267","1097016",11.0488462994,"11:55:00","11:18:00",2220
"268","1097017",11.0488462994,"10:55:00","10:18:00",2220
"269","1097018",11.0488462994,"9:55:00","9:18:00",2220
"270","1097019",11.0488462994,"8:55:00","8:18:00",2220
"271","1097020",11.0488462994,"7:55:00","7:18:00",2220
"272","1097021",11.0488462994,"6:55:00","6:18:00",2220
"273","1097053",5.5663035551,"24:58:00","24:35:00",1380
"274","1097054",5.5663035551,"23:28:00","23:05:00",1380
"275","1097055",5.5663035551,"21:58:00","21:35:00",1380
"276","1097056",5.5663035551,"20:28:00","20:05:00",1380
"277","1097057",5.5663035551,"19:28:00","19:05:00",1380
"278","1097058",5.5663035551,"18:28:00","18:05:00",1380
"279","1097059",5.5663035551,"17:28:00","17:05:00",1380
"280","1097060",5.5663035551,"16:28:00","16:05:00",1380
"281","1097061",5.5663035551,"15:28:00","15:05:00",1380
"282","1097062",5.5663035551,"14:28:00","14:05:00",1380
"283","1097063",5.5663035551,"13:28:00","13:05:00",1380
"284","1097064",5.5663035551,"12:28:00","12:05:00",1380
"285","1097065",5.5663035551,"11:28:00","11:05:00",1380
"286","1097066",5.5663035551,"10:28:00","10:05:00",1380
"287","1097067",5.5663035551,"9:28:00","9:05:00",1380
"288","1097068",5.5663035551,"8:28:00","8:05:00",1380
"289","1097069",5.5663035551,"7:28:00","7:05:00",1380
"290","1097070",5.5663035551,"6:28:00","6:05:00",1380
"291","1097071",4.0710363807,"25:17:00","24:58:00",1140
"292","1097072",4.0710363807,"23:47:00","23:28:00",1140
"293","1097073",4.0710363807,"22:17:00","21:58:00",1140
"294","1097074",4.0710363807,"20:47:00","20:28:00",1140
"295","1097075",4.0710363807,"19:47:00","19:28:00",1140
"296","1097076",4.0710363807,"18:47:00","18:28:00",1140
"297","1097077",4.0710363807,"17:47:00","17:28:00",1140
"298","1097078",4.0710363807,"16:47:00","16:28:00",1140
"299","1097079",4.0710363807,"15:47:00","15:28:00",1140
"300","1097080",4.0710363807,"14:47:00","14:28:00",1140
"301","1097081",4.0710363807,"13:47:00","13:28:00",1140
"302","1097082",4.0710363807,"12:47:00","12:28:00",1140
"303","1097083",4.0710363807,"11:47:00","11:28:00",1140
"304","1097084",4.0710363807,"10:47:00","10:28:00",1140
"305","1097085",4.0710363807,"9:47:00","9:28:00",1140
"306","1097086",4.0710363807,"8:47:00","8:28:00",1140
"307","1097087",4.0710363807,"7:47:00","7:28:00",1140
"308","1097088",4.0710363807,"6:47:00","6:28:00",1140
"309","1097089",5.5663035551,"10:28:00","10:05:00",1380
"310","1097090",5.5663035551,"20:28:00","20:05:00",1380
"311","1097091",5.5663035551,"19:28:00","19:05:00",1380
"312","1097092",5.5663035551,"18:28:00","18:05:00",1380
"313","1097093",5.5663035551,"17:28:00","17:05:00",1380
"314","1097094",5.5663035551,"16:28:00","16:05:00",1380
"315","1097095",5.5663035551,"15:28:00","15:05:00",1380
"316","1097096",5.5663035551,"14:28:00","14:05:00",1380
"317","1097097",5.5663035551,"13:28:00","13:05:00",1380
"318","1097098",5.5663035551,"12:28:00","12:05:00",1380
"319","1097099",5.5663035551,"11:28:00","11:05:00",1380
"320","1097100",5.5663035551,"9:28:00","9:05:00",1380
"321","1097101",5.5663035551,"8:28:00","8:05:00",1380
"322","1097102",5.5663035551,"7:28:00","7:05:00",1380
"323","1097103",4.0710363807,"20:47:00","20:28:00",1140
"324","1097104",4.0710363807,"19:47:00","19:28:00",1140
"325","1097105",4.0710363807,"18:47:00","18:28:00",1140
"326","1097106",4.0710363807,"17:47:00","17:28:00",1140
"327","1097107",4.0710363807,"16:47:00","16:28:00",1140
"328","1097108",4.0710363807,"15:47:00","15:28:00",1140
"329","1097109",4.0710363807,"14:47:00","14:28:00",1140
"330","1097110",4.0710363807,"13:47:00","13:28:00",1140
"331","1097111",4.0710363807,"12:47:00","12:28:00",1140
"332","1097112",4.0710363807,"11:47:00","11:28:00",1140
"333","1097113",4.0710363807,"10:47:00","10:28:00",1140
"334","1097114",4.0710363807,"9:47:00","9:28:00",1140
"335","1097115",4.0710363807,"8:47:00","8:28:00",1140
"336","1097116",4.0710363807,"7:47:00","7:28:00",1140
"337","1097120",5.5663035551,"24:58:00","24:35:00",1380
"338","1097121",5.5663035551,"23:28:00","23:05:00",1380
"339","1097122",5.5663035551,"21:58:00","21:35:00",1380
"340","1097123",5.5663035551,"20:28:00","20:05:00",1380
"341","1097124",5.5663035551,"19:28:00","19:05:00",1380
"342","1097125",5.5663035551,"18:28:00","18:05:00",1380
"343","1097126",5.5663035551,"17:28:00","17:05:00",1380
"344","1097127",5.5663035551,"16:28:00","16:05:00",1380
"345","1097128",5.5663035551,"15:28:00","15:05:00",1380
"346","1097129",5.5663035551,"14:28:00","14:05:00",1380
"347","1097130",5.5663035551,"13:28:00","13:05:00",1380
"348","1097131",5.5663035551,"12:28:00","12:05:00",1380
"349","1097132",5.5663035551,"11:28:00","11:05:00",1380
"350","1097133",5.5663035551,"10:28:00","10:05:00",1380
"351","1097134",5.5663035551,"9:28:00","9:05:00",1380
"352","1097135",5.5663035551,"8:28:00","8:05:00",1380
"353","1097136",5.5663035551,"7:28:00","7:05:00",1380
"354","1097137",5.5663035551,"6:28:00","6:05:00",1380
"355","1097138",5.5663035551,"5:28:00","5:05:00",1380
"356","1097139",4.0710363807,"25:17:00","24:58:00",1140
"357","1097140",4.0710363807,"23:47:00","23:28:00",1140
"358","1097141",4.0710363807,"22:17:00","21:58:00",1140
"359","1097142",4.0710363807,"20:47:00","20:28:00",1140
"360","1097143",4.0710363807,"19:47:00","19:28:00",1140
"361","1097144",4.0710363807,"18:47:00","18:28:00",1140
"362","1097145",4.0710363807,"17:47:00","17:28:00",1140
"363","1097146",4.0710363807,"16:47:00","16:28:00",1140
"364","1097147",4.0710363807,"15:47:00","15:28:00",1140
"365","1097148",4.0710363807,"14:47:00","14:28:00",1140
"366","1097149",4.0710363807,"13:47:00","13:28:00",1140
"367","1097150",4.0710363807,"12:47:00","12:28:00",1140
"368","1097151",4.0710363807,"11:47:00","11:28:00",1140
"369","1097152",4.0710363807,"10:47:00","10:28:00",1140
"370","1097153",4.0710363807,"9:47:00","9:28:00",1140
"371","1097154",4.0710363807,"8:47:00","8:28:00",1140
"372","1097155",4.0710363807,"7:47:00","7:28:00",1140
"373","1097156",4.0710363807,"6:47:00","6:28:00",1140
"374","1097157",4.0710363807,"5:47:00","5:28:00",1140
"375","1097186",6.0169839414,"24:53:00","24:35:00",1080
"376","1097187",6.0169839414,"23:23:00","23:05:00",1080
"377","1097188",6.0169839414,"21:53:00","21:35:00",1080
"378","1097189",6.0169839414,"20:23:00","20:05:00",1080
"379","1097190",6.0169839414,"19:23:00","19:05:00",1080
"380","1097191",6.0169839414,"18:23:00","18:05:00",1080
"381","1097192",6.0169839414,"17:23:00","17:05:00",1080
"382","1097193",6.0169839414,"16:23:00","16:05:00",1080
"383","1097194",6.0169839414,"15:23:00","15:05:00",1080
"384","1097195",6.0169839414,"14:23:00","14:05:00",1080
"385","1097196",6.0169839414,"13:23:00","13:05:00",1080
"386","1097197",6.0169839414,"12:23:00","12:05:00",1080
"387","1097198",6.0169839414,"11:23:00","11:05:00",1080
"388","1097199",6.0169839414,"10:23:00","10:05:00",1080
"389","1097200",6.0169839414,"9:23:00","9:05:00",1080
"390","1097201",6.0169839414,"8:23:00","8:05:00",1080
"391","1097202",6.0169839414,"7:23:00","7:05:00",1080
"392","1097203",6.0169839414,"6:23:00","6:05:00",1080
"393","1097204",6.8386228147,"25:16:00","24:53:00",1380
"394","1097205",6.8386228147,"24:15:00","23:52:00",1380
"395","1097206",6.8386228147,"22:45:00","22:22:00",1380
"396","1097207",6.8386228147,"21:15:00","20:52:00",1380
"397","1097208",6.8386228147,"19:50:00","19:27:00",1380
"398","1097209",6.8386228147,"18:50:00","18:27:00",1380
