route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
10900,11,1211553,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211554,333 - NEWFIELD AVE-Newfield Green,0,91390,122596
10900,11,1211555,333/334 - NEWFIELD AVE/HOPE ST,0,91409,122595
10900,11,1211556,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211557,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211558,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211559,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211560,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211561,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211562,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211563,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211564,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211565,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211566,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,11,1211567,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91390,122599
10900,12,1211568,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211569,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211570,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211571,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211572,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211573,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211574,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211575,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211576,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211577,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,12,1211578,333/334 - NEWFIELD AVE/HOPE ST,0,91391,122595
10900,10,1211579,333 - NEWFIELD AVE-Newfield Green,0,91385,122596
10900,10,1211580,333 - NEWFIELD AVE-Newfield Green,0,91417,122596
10900,10,1211581,333 - NEWFIELD AVE-Newfield Green,0,91383,122596
10900,10,1211582,333D - NEWFIELD AVE-Davenport Ridge,0,91418,122594
10900,10,1211583,333/334 - NEWFIELD AVE/HOPE ST,0,91414,122595
10900,10,1211584,333/334 - NEWFIELD AVE/HOPE ST,0,91403,122595
10900,10,1211585,333/334 - NEWFIELD AVE/HOPE ST,0,91414,122595
10900,10,1211586,333/334 - NEWFIELD AVE/HOPE ST,0,91403,122595
10900,10,1211587,333D - NEWFIELD AVE-Davenport Ridge,0,91419,122594
10900,10,1211588,333D - NEWFIELD AVE-Davenport Ridge,0,91420,122594
10900,10,1211589,333D - NEWFIELD AVE-Davenport Ridge,0,91385,122594
10900,10,1211590,333 - NEWFIELD AVE-Newfield Green,0,91417,122596
10900,10,1211591,333D - NEWFIELD AVE-Davenport Ridge,0,91419,122594
10900,10,1211592,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211593,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211594,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211595,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211596,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211597,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211598,333 - NEWFIELD AVE-Newfield Green,0,91418,122596
10900,10,1211599,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211600,333D - NEWFIELD AVE-Davenport Ridge,0,91421,122594
10900,10,1211601,333D - NEWFIELD AVE-Davenport Ridge,0,91383,122594
10900,10,1211602,333D - NEWFIELD AVE-Davenport Ridge,0,91418,122594
10900,10,1211603,333D - NEWFIELD AVE-Davenport Ridge,0,91417,122594
10900,10,1211604,333D - NEWFIELD AVE-Davenport Ridge,0,91421,122594
10900,10,1211605,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91385,122598
10900,10,1211606,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122598
10900,10,1211607,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91419,122597
10900,10,1211608,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91420,122597
10900,10,1211609,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91385,122597
10900,10,1211610,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122598
10900,10,1211611,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91419,122597
10900,10,1211612,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211613,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211614,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211615,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211616,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211617,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211618,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91418,122598
10900,10,1211619,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211620,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91421,122597
10900,10,1211621,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91383,122597
10900,10,1211622,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91418,122597
10900,10,1211623,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91417,122597
10900,10,1211624,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91421,122597
10900,10,1211625,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91383,122598
10900,10,1211626,333 - NEWFIELD AVE-Stamford Trans Ctr,1,91418,122597
10901,11,1211638,334 - HOPE ST-Springdale,0,91380,122601
10901,11,1211639,334 - HOPE ST-Springdale,0,91378,122601
10901,11,1211640,334 - HOPE ST-Springdale,0,91379,122601
10901,11,1211641,334 - HOPE ST-Springdale,0,91380,122601
10901,11,1211642,334 - HOPE ST-Springdale,0,91378,122601
10901,11,1211643,334 - HOPE ST-Springdale,0,91379,122601
10901,11,1211644,334 - HOPE ST-Springdale,0,91380,122601
10901,11,1211645,334 - HOPE ST-Springdale,0,91378,122601
10901,11,1211646,334 - HOPE ST-Springdale,0,91379,122601
10901,11,1211647,334 - HOPE ST-Springdale,0,91380,122601
10901,11,1211648,334 - HOPE ST-Springdale,0,91378,122601
10901,11,1211649,334 - HOPE ST-Springdale,0,91379,122601
10901,11,1211650,334 - HOPE ST-Springdale,0,91380,122601
10901,11,1211651,334 - HOPE ST-Springdale,0,91378,122601
10901,11,1211652,334 - HOPE ST-Springdale,0,91379,122601
10901,11,1211653,334 - HOPE ST-Springdale,0,91380,122601
10901,11,1211654,334 - HOPE ST-Springdale,0,91378,122601
10901,11,1211655,334 - HOPE ST-Springdale,0,91379,122601
10901,11,1211656,334 - HOPE ST-Springdale,0,91380,122601
