"","trip_id","distance","end","start","trip_duration"
"10293","1206378",8.9771,"15:05:00","14:50:00",900
"10294","1206379",8.9771,"16:25:00","16:10:00",900
"10295","1206380",8.9771,"17:35:00","17:20:00",900
"10296","1206381",4.9175,"10:58:00","10:45:00",780
"10297","1206382",4.9175,"12:28:00","12:15:00",780
"10298","1206383",4.9175,"13:58:00","13:45:00",780
"10299","1206384",4.9175,"15:23:00","15:10:00",780
"10300","1206385",4.9175,"16:43:00","16:30:00",780
"10301","1206386",7.6469,"6:45:00","6:30:00",900
"10302","1206387",9.1056,"7:32:00","7:15:00",1020
"10303","1206388",8.9771,"8:45:00","8:30:00",900
"10304","1206389",8.9771,"9:45:00","9:30:00",900
"10305","1206390",8.9771,"10:15:00","10:00:00",900
"10306","1206391",8.9771,"11:15:00","11:00:00",900
"10307","1206392",8.9771,"12:15:00","12:00:00",900
"10308","1206393",8.9771,"13:15:00","13:00:00",900
"10309","1206394",8.9771,"14:15:00","14:00:00",900
"10310","1206395",7.9171,"15:15:00","15:00:00",900
"10311","1206396",5.829,"16:32:00","16:20:00",720
"10312","1206397",5.829,"17:42:00","17:30:00",720
"10313","1206398",9.4502,"7:10:00","6:45:00",1500
"10314","1206399",4.9175,"7:58:00","7:45:00",780
"10315","1206400",4.9175,"8:58:00","8:45:00",780
"10316","1206401",4.9175,"9:58:00","9:45:00",780
"10317","1206402",4.9175,"10:28:00","10:15:00",780
"10318","1206403",4.9175,"11:28:00","11:15:00",780
"10319","1206404",4.9175,"12:28:00","12:15:00",780
"10320","1206405",4.9175,"13:28:00","13:15:00",780
"10321","1206406",8.0403,"16:53:00","16:37:00",960
"10322","1206407",5.087,"14:28:00","14:15:00",780
"10323","1206408",8.0403,"17:58:00","17:42:00",960
"10324","1206409",7.2131,"15:48:00","15:30:00",1080
"10325","1206411",34.5342,"8:00:00","7:00:00",3600
"10326","1206412",34.5342,"9:00:00","8:00:00",3600
"10327","1206413",34.5342,"15:47:00","14:40:00",4020
"10328","1206414",34.5342,"16:47:00","15:40:00",4020
"10329","1206415",34.6788,"9:20:00","8:10:00",4200
"10330","1206416",34.6788,"10:20:00","9:10:00",4200
"10331","1206417",34.6788,"17:05:00","15:55:00",4200
"10332","1206418",34.162,"18:03:00","16:55:00",4080
"10333","1206419",34.5342,"6:50:00","5:50:00",3600
"10334","1206420",34.5342,"7:50:00","6:50:00",3600
"10335","1206421",34.5342,"8:50:00","7:50:00",3600
"10336","1206422",34.5342,"9:52:00","9:00:00",3120
"10337","1206423",34.5342,"11:52:00","11:00:00",3120
"10338","1206424",34.5342,"15:52:00","14:45:00",4020
"10339","1206425",34.5342,"16:52:00","15:45:00",4020
"10340","1206426",34.5342,"17:52:00","16:45:00",4020
"10341","1206427",34.5342,"18:52:00","17:55:00",3420
"10342","1206428",34.5342,"12:52:00","12:00:00",3120
"10343","1206429",34.5342,"13:52:00","13:00:00",3120
"10344","1206430",34.5342,"14:52:00","14:00:00",3120
"10345","1206431",35.6845,"17:24:00","16:15:00",4140
"10346","1206432",35.6845,"18:24:00","17:15:00",4140
