GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US090034804002,090034804002,"Block Group 2, Census Tract 4804, Hartford County, Connecticut",2632,267,2518,281,21,22,0,12,83,96,10,16,0,12,0,12,0,12,0,12
1500000US090034805001,090034805001,"Block Group 1, Census Tract 4805, Hartford County, Connecticut",1681,298,1501,245,15,18,6,10,21,36,0,12,0,12,138,146,0,12,138,146
1500000US090034805002,090034805002,"Block Group 2, Census Tract 4805, Hartford County, Connecticut",1744,266,1458,266,23,27,16,25,116,82,0,12,39,42,92,76,42,61,50,46
1500000US090034806001,090034806001,"Block Group 1, Census Tract 4806, Hartford County, Connecticut",527,251,373,205,96,101,0,12,0,12,0,12,5,29,53,73,0,12,53,73
1500000US090034806002,090034806002,"Block Group 2, Census Tract 4806, Hartford County, Connecticut",699,279,612,256,80,93,0,12,0,12,0,12,7,16,0,12,0,12,0,12
1500000US090034806003,090034806003,"Block Group 3, Census Tract 4806, Hartford County, Connecticut",2133,466,1297,425,150,149,0,12,343,199,0,12,149,225,194,152,11,17,183,148
1500000US090034806004,090034806004,"Block Group 4, Census Tract 4806, Hartford County, Connecticut",1123,383,854,266,121,162,0,12,0,12,0,12,89,158,59,94,59,94,0,12
1500000US090034807001,090034807001,"Block Group 1, Census Tract 4807, Hartford County, Connecticut",1050,191,934,190,40,43,0,12,42,40,0,12,11,14,23,28,0,12,23,28
1500000US090034807002,090034807002,"Block Group 2, Census Tract 4807, Hartford County, Connecticut",1254,246,990,222,46,37,0,12,67,74,0,12,16,23,135,83,0,12,135,83
1500000US090034808001,090034808001,"Block Group 1, Census Tract 4808, Hartford County, Connecticut",1707,275,1355,229,42,35,10,17,52,40,0,12,49,61,199,142,47,58,152,128
